DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
231408727;02/01/2020 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;02/01/2020 12:00:00 AM;1200;14;1454;54;M;OTHER PREMISE                               ;               ;IC
211404515;01/08/2021 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/31/2020 12:00:00 AM;1800;14;1434;69;M;STREET                                      ;               ;IC
221420565;10/07/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;10/17/2020 12:00:00 AM;2205;14;1469;21;F;SINGLE FAMILY DWELLING                      ;               ;IC
231422045;12/21/2023 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;04/20/2020 12:00:00 AM;1800;14;1455;0; ;STREET                                      ;               ;IC
231410100;05/09/2023 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;01/18/2020 12:00:00 AM;1225;14;1469;34;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
201416348;08/30/2020 12:00:00 AM;Pacific    ;VEHICLE - STOLEN                                        ;08/28/2020 12:00:00 AM;1200;14;1453;0; ;PARKING LOT                                 ;               ;IC
211419620;10/07/2021 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;03/19/2020 12:00:00 AM;1100;14;1455;68;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
201418201;10/03/2020 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;09/29/2020 12:00:00 AM;1830;14;1454;63;M;ALLEY                                       ;               ;IC
201406733;02/16/2020 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;02/13/2020 12:00:00 AM;2300;14;1406;32;M;GARAGE/CARPORT                              ;               ;IC
201405970;02/01/2020 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;02/01/2020 12:00:00 AM;1658;14;1494;39;M;TRANSPORTATION FACILITY (AIRPORT)           ;               ;AO
201405023;01/19/2020 12:00:00 AM;Pacific    ;BURGLARY                                                ;01/19/2020 12:00:00 AM;1850;14;1435;37;M;SINGLE FAMILY DWELLING                      ;500;IC
201405778;01/27/2020 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;01/20/2020 12:00:00 AM;1540;14;1494;34;M;TRANSPORTATION FACILITY (AIRPORT)           ;               ;IC
201411378;05/25/2020 12:00:00 AM;Pacific    ;VEHICLE - STOLEN                                        ;05/25/2020 12:00:00 AM;1400;14;1467;0; ;STREET                                      ;               ;IC
201409975;04/22/2020 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;04/21/2020 12:00:00 AM;1930;14;1446;43;M;STREET                                      ;               ;IC
201420586;11/20/2020 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/18/2020 12:00:00 AM;630;14;1403;33;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
201420127;11/10/2020 12:00:00 AM;Pacific    ;BIKE - STOLEN                                           ;11/08/2020 12:00:00 AM;1300;14;1487;34;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
201419812;11/06/2020 12:00:00 AM;Pacific    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;11/06/2020 12:00:00 AM;1910;14;1435;48;M;PARKING LOT                                 ;               ;IC
201407385;02/03/2020 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;02/02/2020 12:00:00 AM;2000;14;1449;31;F;PARKING UNDERGROUND/BUILDING                ;               ;IC
201416213;07/25/2020 12:00:00 AM;Pacific    ;BATTERY - SIMPLE ASSAULT                                ;07/25/2020 12:00:00 AM;1640;14;1427;68;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
201404274;01/05/2020 12:00:00 AM;Pacific    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;01/04/2020 12:00:00 AM;2219;14;1476;62;F;SINGLE FAMILY DWELLING                      ;               ;IC
201412163;06/11/2020 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;06/11/2020 12:00:00 AM;350;14;1472;47;M;STREET                                      ;               ;IC
201419844;11/06/2020 12:00:00 AM;Pacific    ;BATTERY - SIMPLE ASSAULT                                ;11/06/2020 12:00:00 AM;1745;14;1431;17;M;OTHER/OUTSIDE                               ;400;IC
201411760;05/27/2020 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;05/26/2020 12:00:00 AM;2100;14;1453;50;M;DRIVEWAY                                    ;               ;IC
201420929;11/29/2020 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;11/28/2020 12:00:00 AM;2100;14;1473;32;F;STREET                                      ;500;IC
201418530;10/10/2020 12:00:00 AM;Pacific    ;BURGLARY                                                ;10/10/2020 12:00:00 AM;442;14;1474;24;M;GARAGE/CARPORT                              ;500;IC
201400766;06/21/2020 12:00:00 AM;Pacific    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;06/21/2020 12:00:00 AM;226;14;1479;48;M;STREET                                      ;109;IC
