DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
230308639;03/31/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;03/30/2023 12:00:00 AM;1000;3;315;52;F;VEHICLE, PASSENGER/TRUCK                    ;               ;IC
230319813;11/10/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;11/10/2023 12:00:00 AM;1930;3;334;22;X;DISCOUNT STORE (99 CENT,DOLLAR,ETC.         ;               ;IC
230309106;04/10/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;04/09/2023 12:00:00 AM;2300;3;353;22;X;DRUG STORE                                  ;               ;AA
230315600;08/24/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;08/24/2023 12:00:00 AM;640;3;357;22;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA
230311808;06/04/2023 12:00:00 AM;Southwest  ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;06/03/2023 12:00:00 AM;2300;3;392;43;F;SINGLE FAMILY DWELLING                      ;400;IC
230311408;05/26/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;05/26/2023 12:00:00 AM;1;3;376;0; ;STREET                                      ;               ;IC
230320547;11/28/2023 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;11/21/2023 12:00:00 AM;1154;3;399;22;X;OTHER BUSINESS                              ;               ;IC
230300717;06/12/2023 12:00:00 AM;Southwest  ;FAILURE TO YIELD                                        ;06/11/2023 12:00:00 AM;1940;3;313;22;X;STREET                                      ;               ;AA
230319558;11/11/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;11/10/2023 12:00:00 AM;2100;3;334;53;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);306;AA
230314903;08/11/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;08/11/2023 12:00:00 AM;1745;3;356;16;M;SIDEWALK                                    ;106;JA
230319592;11/02/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;11/01/2023 12:00:00 AM;915;3;361;31;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
230316712;09/15/2023 12:00:00 AM;Southwest  ;BUNCO, ATTEMPT                                          ;09/13/2023 12:00:00 AM;2300;3;337;21;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
230307760;03/14/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/10/2023 12:00:00 AM;1350;3;376;13;F;JUNIOR HIGH SCHOOL                          ;511;JO
230314890;08/10/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;08/09/2023 12:00:00 AM;2100;3;395;59;M;PARKING LOT                                 ;               ;IC
230307525;03/09/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;03/09/2023 12:00:00 AM;2000;3;398;0; ;STREET                                      ;               ;IC
230316179;09/05/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;09/05/2023 12:00:00 AM;1810;3;338;23;M;OTHER BUSINESS                              ;500;IC
230313610;07/15/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;07/15/2023 12:00:00 AM;1300;3;392;69;F;SINGLE FAMILY DWELLING                      ;400;IC
230312682;06/25/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;06/25/2023 12:00:00 AM;540;3;319;22;X;MINI-MART                                   ;113;AA
230320899;12/06/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;12/06/2023 12:00:00 AM;1630;3;362;0;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
230312017;06/09/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;06/09/2023 12:00:00 AM;1742;3;399;49;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
230306859;02/24/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;02/24/2023 12:00:00 AM;700;3;329;38;M;VEHICLE, PASSENGER/TRUCK                    ;311;IC
230305222;01/25/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;01/25/2023 12:00:00 AM;1500;3;361;16;F;STREET                                      ;106;IC
230318834;10/29/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;10/29/2023 12:00:00 AM;300;3;397;30;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
230310784;05/12/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;05/12/2023 12:00:00 AM;1915;3;328;55;M;PARKING LOT                                 ;400;IC
230313796;07/18/2023 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;07/18/2023 12:00:00 AM;1700;3;393;22;X;OTHER BUSINESS                              ;               ;IC
