DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
210609975;05/19/2021 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;10/20/2020 12:00:00 AM;1200;6;643;21;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
200600728;06/11/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;06/11/2020 12:00:00 AM;1350;6;648;51;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA
200613856;08/11/2020 12:00:00 AM;Hollywood  ;OTHER MISCELLANEOUS CRIME                               ;07/15/2020 12:00:00 AM;100;6;676;31;F;SINGLE FAMILY DWELLING                      ;               ;IC
200609061;04/13/2020 12:00:00 AM;Hollywood  ;ROBBERY                                                 ;04/13/2020 12:00:00 AM;2052;6;645;0;X;DRUG STORE                                  ;500;IC
200611726;06/22/2020 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;05/17/2020 12:00:00 AM;1600;6;615;33;M;STREET                                      ;               ;IC
200609585;04/27/2020 12:00:00 AM;Hollywood  ;BATTERY - SIMPLE ASSAULT                                ;04/27/2020 12:00:00 AM;850;6;663;44;M;STREET                                      ;400;IC
200600695;05/10/2020 12:00:00 AM;Hollywood  ;BRANDISH WEAPON                                         ;05/10/2020 12:00:00 AM;10;6;643;26;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;AA
200618878;12/05/2020 12:00:00 AM;Hollywood  ;BATTERY POLICE (SIMPLE)                                 ;12/05/2020 12:00:00 AM;115;6;666;0;X;STREET                                      ;400;IC
200616403;10/07/2020 12:00:00 AM;Hollywood  ;VEHICLE - STOLEN                                        ;10/07/2020 12:00:00 AM;1230;6;622;0; ;STREET                                      ;               ;IC
200607529;03/08/2020 12:00:00 AM;Hollywood  ;TRESPASSING                                             ;03/08/2020 12:00:00 AM;40;6;636;0;X;BAR/COCKTAIL/NIGHTCLUB                      ;               ;IC
200612216;07/05/2020 12:00:00 AM;Hollywood  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;07/05/2020 12:00:00 AM;1200;6;629;56;M;DRIVEWAY                                    ;               ;IC
200615917;09/25/2020 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/25/2020 12:00:00 AM;1600;6;667;33;M;STREET                                      ;400;AO
200604850;01/19/2020 12:00:00 AM;Hollywood  ;ROBBERY                                                 ;01/19/2020 12:00:00 AM;910;6;648;0;X;CLOTHING STORE                              ;400;IC
200608726;04/01/2020 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;03/31/2020 12:00:00 AM;1410;6;632;33;M;DRIVEWAY                                    ;               ;IC
200609823;05/04/2020 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;05/03/2020 12:00:00 AM;2000;6;625;56;F;SINGLE FAMILY DWELLING                      ;               ;IC
200609783;05/03/2020 12:00:00 AM;Hollywood  ;VEHICLE - STOLEN                                        ;05/02/2020 12:00:00 AM;1700;6;659;0; ;STREET                                      ;               ;IC
200609371;04/22/2020 12:00:00 AM;Hollywood  ;VEHICLE - STOLEN                                        ;04/11/2020 12:00:00 AM;1755;6;648;0; ;STREET                                      ;               ;IC
200614070;08/17/2020 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;08/16/2020 12:00:00 AM;2100;6;638;49;M;PARKING UNDERGROUND/BUILDING                ;               ;IC
200608783;04/05/2020 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;04/05/2020 12:00:00 AM;2000;6;668;36;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
200612912;07/21/2020 12:00:00 AM;Hollywood  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;07/18/2020 12:00:00 AM;800;6;628;52;M;STREET                                      ;               ;IC
200611024;06/03/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;06/03/2020 12:00:00 AM;2155;6;665;0;X;OTHER BUSINESS                              ;               ;AA
200606263;02/14/2020 12:00:00 AM;Hollywood  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;02/14/2020 12:00:00 AM;2020;6;656;22;M;SIDEWALK                                    ;200;AO
200610854;06/01/2020 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;05/20/2020 12:00:00 AM;1200;6;678;53;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
200611687;06/04/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;06/03/2020 12:00:00 AM;2000;6;628;53;M;SINGLE FAMILY DWELLING                      ;               ;IC
200612802;07/19/2020 12:00:00 AM;Hollywood  ;DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER    ;07/19/2020 12:00:00 AM;1630;6;643;0;X;RESTAURANT/FAST FOOD                        ;               ;IC
200614594;08/20/2020 12:00:00 AM;Hollywood  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/09/2020 12:00:00 AM;1200;6;621;55;M;YARD (RESIDENTIAL/BUSINESS)                 ;               ;IC
200619096;12/10/2020 12:00:00 AM;Hollywood  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;12/10/2020 12:00:00 AM;1;6;678;27;M;DRIVEWAY                                    ;               ;IC
