DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
232000600;02/22/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;02/22/2023 12:00:00 AM;2200
232012397;07/04/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/04/2023 12:00:00 AM;1100
232005042;01/29/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/28/2023 12:00:00 AM;1800
232010014;05/10/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/10/2023 12:00:00 AM;1725
232013464;07/30/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;07/30/2023 12:00:00 AM;400
232007524;03/27/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;03/27/2023 12:00:00 AM;1030
232018080;11/19/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;11/19/2023 12:00:00 AM;1100
232014842;08/24/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/10/2023 12:00:00 AM;2100
232016990;10/24/2023 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;10/23/2023 12:00:00 AM;1630
232014711;08/29/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;08/27/2023 12:00:00 AM;2130
232007809;04/04/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;04/03/2023 12:00:00 AM;1
232004531;01/15/2023 12:00:00 AM;Olympic    ;ROBBERY                                                 ;01/15/2023 12:00:00 AM;1715
232010088;05/11/2023 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;05/11/2023 12:00:00 AM;1430
242004082;01/02/2024 12:00:00 AM;Olympic    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;12/28/2023 12:00:00 AM;435
232018586;12/01/2023 12:00:00 AM;Olympic    ;ARSON                                                   ;11/21/2023 12:00:00 AM;514
232016375;10/09/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;10/09/2023 12:00:00 AM;1540
232011079;06/03/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;06/03/2023 12:00:00 AM;615
242004632;12/25/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;12/22/2023 12:00:00 AM;1150
232013262;07/25/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;07/24/2023 12:00:00 AM;2200
232014464;08/23/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/23/2023 12:00:00 AM;2300
232012022;06/25/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;06/24/2023 12:00:00 AM;300
232004188;01/05/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;01/05/2023 12:00:00 AM;1445
232010498;05/21/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;05/20/2023 12:00:00 AM;1000
