DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
230510016;06/09/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;10/29/2020 12:00:00 AM;100
220509042;05/12/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;05/15/2020 12:00:00 AM;740
230515197;10/29/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;03/23/2020 12:00:00 AM;1000
220504487;01/15/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;09/13/2020 12:00:00 AM;1050
200517540;12/07/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;11/30/2020 12:00:00 AM;2255
220508423;04/26/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/26/2020 12:00:00 AM;1815
220507203;03/25/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;03/16/2020 12:00:00 AM;1615
230505482;02/09/2023 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;06/01/2020 12:00:00 AM;1400
230513929;09/25/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;09/06/2020 12:00:00 AM;520
220515868;11/11/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;03/01/2020 12:00:00 AM;2340
200510354;06/08/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;06/08/2020 12:00:00 AM;330
230508621;05/10/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;05/01/2020 12:00:00 AM;1
220506226;02/15/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;925
210505782;02/14/2021 12:00:00 AM;Harbor     ;CHILD ANNOYING (17YRS & UNDER)                          ;01/01/2020 12:00:00 AM;1
230511055;07/12/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;07/07/2020 12:00:00 AM;1210
220506898;03/16/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1200
210506135;02/23/2021 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;12/07/2020 12:00:00 AM;1340
220505795;02/16/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;07/01/2020 12:00:00 AM;1200
230511641;07/27/2023 12:00:00 AM;Harbor     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;01/01/2020 12:00:00 AM;1
210509261;05/18/2021 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;09/01/2020 12:00:00 AM;1
230505232;02/02/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;05/07/2020 12:00:00 AM;2120
