DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200315653;08/12/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;08/10/2020 12:00:00 AM;1600
200316094;08/21/2020 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/21/2020 12:00:00 AM;330
200315220;08/04/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;08/01/2020 12:00:00 AM;2000
200317915;09/26/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;09/26/2020 12:00:00 AM;1420
200312831;06/17/2020 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;06/15/2020 12:00:00 AM;1700
200306510;02/11/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;02/11/2020 12:00:00 AM;2120
200308567;03/14/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;03/14/2020 12:00:00 AM;2250
200320956;11/27/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;11/25/2020 12:00:00 AM;800
200304718;01/13/2020 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;01/12/2020 12:00:00 AM;400
200313942;07/10/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;07/09/2020 12:00:00 AM;1700
200313761;07/06/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;07/06/2020 12:00:00 AM;2200
200312028;05/29/2020 12:00:00 AM;Southwest  ;SHOTS FIRED AT INHABITED DWELLING                       ;05/29/2020 12:00:00 AM;125
200307640;03/01/2020 12:00:00 AM;Southwest  ;THEFT FROM PERSON - ATTEMPT                             ;03/01/2020 12:00:00 AM;845
200321450;12/09/2020 12:00:00 AM;Southwest  ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;12/09/2020 12:00:00 AM;300
200315282;08/05/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;08/04/2020 12:00:00 AM;1830
200306830;02/16/2020 12:00:00 AM;Southwest  ;BURGLARY                                                ;02/16/2020 12:00:00 AM;1800
200321099;11/30/2020 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;11/30/2020 12:00:00 AM;805
200315092;08/01/2020 12:00:00 AM;Southwest  ;BRANDISH WEAPON                                         ;08/01/2020 12:00:00 AM;2320
200312335;06/05/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;06/05/2020 12:00:00 AM;1635
200318844;10/14/2020 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;10/07/2020 12:00:00 AM;800
200315504;08/09/2020 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;08/09/2020 12:00:00 AM;1950
200320945;11/26/2020 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;11/26/2020 12:00:00 AM;1230
200300896;11/23/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;11/23/2020 12:00:00 AM;915
200305889;02/01/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/31/2020 12:00:00 AM;2000
200317330;09/14/2020 12:00:00 AM;Southwest  ;BIKE - STOLEN                                           ;09/12/2020 12:00:00 AM;2000
200321043;11/28/2020 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;11/27/2020 12:00:00 AM;1900
200300900;11/25/2020 12:00:00 AM;Southwest  ;SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT        ;11/25/2020 12:00:00 AM;615
200321894;12/17/2020 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;12/17/2020 12:00:00 AM;1510
200311722;05/21/2020 12:00:00 AM;Southwest  ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;05/20/2020 12:00:00 AM;2230
200308845;03/20/2020 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;03/20/2020 12:00:00 AM;1030
200308248;03/08/2020 12:00:00 AM;Southwest  ;VIOLATION OF RESTRAINING ORDER                          ;03/07/2020 12:00:00 AM;1320
200312848;06/18/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;06/17/2020 12:00:00 AM;700
200309303;04/01/2020 12:00:00 AM;Southwest  ;DISCHARGE FIREARMS/SHOTS FIRED                          ;04/01/2020 12:00:00 AM;555
200310293;04/22/2020 12:00:00 AM;Southwest  ;EXTORTION                                               ;04/22/2020 12:00:00 AM;1000
200305032;01/18/2020 12:00:00 AM;Southwest  ;ROBBERY                                                 ;01/18/2020 12:00:00 AM;1310
200317171;09/12/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;09/11/2020 12:00:00 AM;1900
200305928;02/02/2020 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;02/02/2020 12:00:00 AM;1227
200317549;09/19/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;09/19/2020 12:00:00 AM;630
200317830;09/24/2020 12:00:00 AM;Southwest  ;ATTEMPTED ROBBERY                                       ;09/23/2020 12:00:00 AM;1500
200309844;04/13/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;04/13/2020 12:00:00 AM;1230
200304898;01/16/2020 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;01/15/2020 12:00:00 AM;2100
200310639;04/29/2020 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;04/29/2020 12:00:00 AM;2315
200307436;02/26/2020 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;02/26/2020 12:00:00 AM;1130
200320849;11/24/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;11/24/2020 12:00:00 AM;1300
200313153;06/23/2020 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;06/18/2020 12:00:00 AM;1130
200319158;10/09/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;05/25/2020 12:00:00 AM;2215
200310501;04/27/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;04/26/2020 12:00:00 AM;1900
200318645;10/09/2020 12:00:00 AM;Southwest  ;OTHER ASSAULT                                           ;10/09/2020 12:00:00 AM;2140
200311424;05/14/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;05/14/2020 12:00:00 AM;1400
200312417;06/08/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;06/08/2020 12:00:00 AM;1000
200312475;06/09/2020 12:00:00 AM;Southwest  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;06/09/2020 12:00:00 AM;1145
200318863;10/14/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;10/14/2020 12:00:00 AM;1630
200318361;10/02/2020 12:00:00 AM;Southwest  ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;08/19/2020 12:00:00 AM;1500
200312243;06/03/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;06/03/2020 12:00:00 AM;200
