DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
212108400;05/02/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;05/02/2021 12:00:00 AM;1815;21;2103;47;F;GARAGE/CARPORT                              ;               ;AA
212114079;09/19/2021 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;09/19/2021 12:00:00 AM;1100;21;2155;63;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
212111047;07/07/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;06/25/2021 12:00:00 AM;1000;21;2114;72;F;DRIVEWAY                                    ;               ;IC
212117613;12/16/2021 12:00:00 AM;Topanga    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;12/16/2021 12:00:00 AM;1602;21;2113;50;M;TOBACCO SHOP                                ;               ;IC
212104246;01/07/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;01/07/2021 12:00:00 AM;1615;21;2156;62;F;PARKING LOT                                 ;               ;IC
212110209;06/17/2021 12:00:00 AM;Topanga    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/16/2021 12:00:00 AM;200;21;2133;31;F;VEHICLE, PASSENGER/TRUCK                    ;400;AO
212113951;09/16/2021 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;09/16/2021 12:00:00 AM;900;21;2132;0; ;STREET                                      ;               ;IC
212100626;04/16/2021 12:00:00 AM;Topanga    ;ORAL COPULATION                                         ;04/15/2021 12:00:00 AM;1300;21;2126;16;F;VEHICLE, PASSENGER/TRUCK                    ;400;AA
212117018;11/29/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/28/2021 12:00:00 AM;2045;21;2105;59;F;PARKING LOT                                 ;               ;IC
212110973;07/05/2021 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;07/05/2021 12:00:00 AM;830;21;2137;65;F;SINGLE FAMILY DWELLING                      ;400;IC
