n,source,target,time_dijkstra (seconds),dist_dijkstra (euclidean_distance),time_turbo (seconds),dist_turbo (euclidean_distance),ok_same_distance,graph_size,graph_id,seed
500,343,404,0.00319319998379796743,1.12120208259455989008,0.04095100000267848372,1.12120208259455989008,True,500,37,2113
500,390,105,0.00225070002488791943,0.76714979543353978286,0.04054189997259527445,0.76714979543353978286,True,500,38,2114
500,481,410,0.00411000003805384040,0.93600864156046093001,0.04118229995947331190,0.93600864156046093001,True,500,39,2115
500,454,188,0.00279940001200884581,0.80377856500406519302,0.04609339998569339514,0.80377856500406519302,True,500,40,2116
500,45,132,0.00512749998597428203,1.23648686604601154571,0.04063410003436729312,1.23648686604601154571,True,500,41,2117
500,1,56,0.00271100003737956285,1.18743146821190093121,0.04431490000570192933,1.18743146821190093121,True,500,42,2118
500,2,285,0.00450849998742341995,0.89026639895085990517,0.03517570003168657422,0.89026639895085990517,True,500,43,2119
500,328,280,0.00189139996655285358,0.88711527642510890068,0.03272499999729916453,0.88711527642510890068,True,500,44,2120
500,397,292,0.00194459996419027448,0.83854181413218531471,0.03282260004198178649,0.83854181413218531471,True,500,45,2121
500,121,450,0.00218329997733235359,0.96702695283860606867,0.03301369998371228576,0.96702695283860606867,True,500,46,2122
500,322,434,0.00216809997800737619,1.03770288746003958025,0.03258559998357668519,1.03770288746003958025,True,500,47,2123
500,362,14,0.00198739999905228615,1.09983646517007205290,0.03263140004128217697,1.09983646517007205290,True,500,48,2124
500,268,308,0.00195250002434477210,1.00226969892482808966,0.03370209998684003949,1.00226969892482808966,True,500,49,2125
1000,549,67,0.00435170001583173871,0.74788293952066520198,0.11451099999248981476,0.74788293952066520198,True,1000,0,2126
1000,441,844,0.00629960000514984131,0.99403821788066526466,0.11797379999188706279,0.99403821788066526466,True,1000,1,2127
1000,691,218,0.00649759999942034483,0.89453670976113808244,0.07854279997991397977,0.89453670976113808244,True,1000,2,2128
1000,141,664,0.00583680003182962537,0.91497443662931421393,0.06557320000138133764,0.91497443662931421393,True,1000,3,2129
1000,472,588,0.00662599998759105802,1.23918759109064113844,0.06767779996152967215,1.23918759109064113844,True,1000,4,2130
